课程名称,时间,地点,教师,其他,列6,列7,列8,列9,列10,列11,列12,列13,列14,列15
,9,2526121018711004,Python程序设计03班,21018711,Python程序设计,2,应用经济学院,个性化选修,徐瑛,"2024国民经济管理1班,2024经济学类2班,2023级应用经济学院经济学类2班,2023国民经济管理1班,2023应用经济-农村区域发展管理双学士学位复合型人才培养项目1班,2023应......",44,6,"1: 1-16周, 单双周,星期一, 5-6节, 明德地下H;",
,10,2526121018714001,大数据分析导论01班,21018714,大数据分析导论,2,高瓴人工智能学院,通识核心课,"文继荣,徐君",*|*|*|可选,55,5,"1: 1-16周, 单双周,星期四, 7-8节, 立德1009; 2: 1-16周, 单双周,星期五, 5-6节, 明德地下G;",
,11,2526121018721001,多媒体叙事01班,21018721,多媒体叙事,2,新闻学院,个性化选修,何天平,"2024新闻传播学类[1-2]班,2024新闻传播学类[1-2]班（留学生）,2024“法学-新闻学”双学士学位项目班,2024创意传播实验班,2024“传播学-公共管理”双学士学位复合型......",42,7,"1: 1-16周, 单双周,星期四, 13-14节, 明新0201;",
,12,2526121018722001,程序设计实践01班,21018722,程序设计实践,2,新闻学院,个性化选修,塔娜,"2024新闻传播学类[1-2]班,2024“传播学-公共管理”双学士学位复合型人才培养项目1班,2024新闻传播学类[1-2]班（留学生）,2024“国际新闻与传播-西班牙语”联合学士学位......",40,5,"1: 1-16周, 单双周,星期一, 3-4节, 立德906;",
,13,2526121018830001,金融时间序列分析01班,21018830,金融时间序列分析,2,财政金融学院,个性化选修,张星铜,"2023金融学-数据科学与大数据技术（工学）实验班1班,2023“金融学-数学”双学士学位复合型人才培养项目1班,2022“金融学-数学”双学士学位复合型人才培养项目1班,2022级本科”......",55,5,"1: 1-16周, 单双周,星期五, 1-2节, 立德903;",
,14,2526121018984001,概念物理Ⅱ01班,21018984,概念物理Ⅱ,2,物理学院,通识核心课,陈珊珊,"信息学院|*|*|不可选,化学与生命资源学院|*|*|不可选,应用数学研究中心|*|*|不可选,数学学院|*|*|不可选,物理学院|*|*|不可选,统计学院|*|*|不可选,高瓴人工智能学院|*|*|不可选",60,0,"1: 1-4,6-16周, 单双周,星期二, 5-6节, 教一1404; 2: 3周, 单双周,星期日, 5-6节, 教一1404;",
,15,2526121018990001,社会、教育与大学生发展01班,21018990,社会、教育与大学生发展,2,教育学院,公共选修课,罗云,*|*|*|可选,30,0,"1: 1-16周, 单双周,星期一, 5-6节, 教二2110;",
,16,2526121018997001,资产管理与投资策略分析01班,21018997,资产管理与投资策略分析,2,财政金融学院,个性化选修,吴轲,"2023金融学-数据科学与大数据技术（工学）实验班1班,2023级本科金融学[1-4]班,2022金融学[1-4]班,2022级本科财政班,2022级本科保险班,2022级本科”“金融科技......",100,0,"1: 1-16周, 单双周,星期一, 13-14节, 明法0202;",
,17,2526121019006001,外国经典小说精读01班,21019006,外国经典小说精读,2,文学院,公共选修课,张悦然,"*|2024|*|可选,*|2022|*|可选,*|2023|*|可选",31,0,"1: 1,3-16周, 单双周,星期四, 5-6节, 教三3205; 2: 2周, 单双周,星期四, 5-6节, 教三3205;",
,18,2526121019025002,劳动关系经济学01班,21019025,劳动关系经济学,2,劳动人事学院,个性化选修,周广肃,2023人力资源管理类[1-5]班,30,5,"1: 1-4,6-16周, 单双周,星期二, 7-8节, 教三3301; 2: 3周, 单双周,星期日, 7-8节, 教三3301;",
